negara,masakan,bahan,gambar,gambarnegara
Indonesia,Nasi Goreng,"nasi, ayam, bawang merah, bawang putih, kecap manis, telur, minyak goreng, garam",img/makanan/nasi-goreng.png,img/bendera/Indonesia.png
Indonesia,Miee Aceh,"daging sapi, udang, kaldu, kol, tauge, mie aceh, bawang putih, bawang merah, tomat, daun bawang, seledri, cuka, kecap asin, cabai",,img/bendera/Indoneisia.png
Indonesia,Tahu Tempe Bacem,"tahu, tempe, asam, kecap manis, air kelapa parut, minyak goreng, bawang merah, bawang putih, ketumbar, gula merah, garam",,img/bendera/Indoneisia.png
Indonesia,Ayam Goreng,"ayam, merica, garam, jeruk nipis, asam, lengkuas, serai, minyak goreng, bawang merah, bawang putih, kunyit, jahe, kemiri, gula merah",,img/bendera/Indoneisia.png
Indonesia,Soto Padang,"daging sapi, air, minyak goreng, serai, daun salam, daun bawang, daun jeruk, kapulaga, bunga lawang, cengkeh, bawang putih, lengkuas, jahe, kunyit, pala, ketumbar, merica, bihun, seledri, kecap manis, cuka, sambal",,img/bendera/Indoneisia.png
Indonesia,Mie Bangka,"mie basah, tauge, sawi hijau, daun bawang, kecap asin, kecap manis, minyak goreng, bawang, bawang merah, ayam, bawang putih, jahe, kaldu, lemon, saus sambal",,img/bendera/Indoneisia.png
Indonesia,Rawon,"daging sapi, air, daun jeruk, serai, daun bawang, asam, garam, gula, merica, kaldu bubuk, minyak goreng, bawang putih, kemiri, kunyit, keluak, bawang merah, telur asin, tauge, sambal, jeruk nipis",,img/bendera/Indoneisia.png
Indonesia,Soto Ayam Lamongan,"ayam, air, daun salam, daun jeruk, serai, lengkuas, daun bawang, garam, gula, penyedap rasa, bawang merah, bawang putih, kemiri, kunyit bakar, merica, telur, seledri, bubuk koya, tomat, kerupuk udang, bawang merah, mie soun, kol, sambal bawang, jeruk nipis",,img/bendera/Indoneisia.png
Indonesia,Bubur Manado,"beras, singkong, labu kuning, jagung, air, daun kunyit, daun bawang, kangkung, bayam, kemangi, bawang putih, bawang merah, serai, daun salam, garam, kaldu, ikan asin, sambal",,img/bendera/Indoneisia.png
Indonesia,Ayam Rica-Rica,"ayam, garam, jeruk nipis, minyak goreng, jahe, daun jeruk, serai, air, kemangi, cabai, bawang merah, bawang putih",,img/bendera/Indoneisia.png
Malaysia,Nasi Lemak,"beras, santan, jahe, pandan, sambal, bawang merah, bawang putih, cabai, lengkuas, pandan, garam, gula, ayam, ikan teri, kacang tanah, telur",img/makanan/nasi-lemak.png,img/bendera/Malaysia.png
Malaysia,Kwetiaw Penang,"mie lebar, udang, ayam, kerang dara, bakso ikan, tauge, daun bawang, telur,  kecap asin, kecap manis, minyak goreng",,img/bendera/Malaysia.png
Malaysia,Chicken Curry,"ayam, bawang bombay, minyak goreng, jahe, bawang putih, cabai, garam, kecap asin, gula, kentang, cuka, air, bawang merah, cabai, kunyit, lengkuas, serai, biji mustard",,img/bendera/Malaysia.png
Malaysia,Gulai Ikan Asin,"ikan asin, nanas, serai, daun jeruk purut, minyak goreng, santan, bawang merah, cabai, kunyit, lengkuas, ketumbar, terasi, garam",,img/bendera/Malaysia.png
Malaysia,Miee Goreng Mualim,"Mie kuning, minyak goreng, bawang putih, cabai, kentang, tauge, kecap manis, kecap asin, saus tomat, gula, merica, garam",,img/bendera/Malaysia.png
Malaysia,Roti Canai,"tepung terigu, air, garam, gula, minyak goreng",,img/bendera/Malaysia.png
Malaysia,Karipap,"kulit pastry, kentang, daging sapi, bawang, rempah kari",,img/bendera/Malaysia.png
Malaysia,Char Kway Teow,"kwetiau, telur, udang, kerang, tauge, bawang putih, kecap manis, minyak goreng, cabai",,img/bendera/Malaysia.png
